Y1,Y2,Y3,mahalanobis,pvalue
1.889868494,-4.450520762,0.586903155,1.862313423,0.394097589
5.010104924,-1.386075545,4.210855065,3.976502665,0.136934669
4.434167672,-1.592115234,1.557061876,1.61939017,0.444993731
4.554377806,-1.136364605,-0.309953602,1.256190596,0.533607196
3.584576275,-1.879408202,-2.591770848,1.918815355,0.383119749
6.34733636,0.892540725,0.435497997,2.300467973,0.316562689
3.778217832,-1.624276307,-2.734750788,2.028862106,0.362608676
6.982464918,1.562841692,0.464424951,2.90282251,0.234239483
4.868153258,-0.426386851,-2.733291638,2.343737075,0.309787551
5.218486872,-0.130252931,-2.201098338,2.1622107,0.339220361
3.132207931,-1.614585137,-4.995110434,4.188862497,0.12314026
7.271642268,2.428480417,-1.492554197,3.688480347,0.158145438
5.746700981,1.200003718,-4.337420889,4.520718283,0.104313015
5.925143559,1.678964639,-6.189274042,7.433538977,0.024312383
11.71515892,7.78218986,-3.424805249,14.09216695,8.71E-04
-1.00226658,-7.078547016,0.368033432,4.169321608,0.124349292
-1.310635393,-7.801891536,-0.330315806,5.084609515,0.078684841
-0.161093206,-6.346222052,1.299446784,3.526056411,0.171524665
-0.930642689,-5.405827128,0.748457285,2.513317633,0.284603352
-0.680521061,-4.937731987,0.986053499,2.152242578,0.340915276
-0.327300852,-4.566539415,1.10700445,1.879236283,0.390777028
0.293818997,-2.540468465,2.174532226,1.183786091,0.553278911
-0.178375881,-2.867826087,1.656290228,1.051973424,0.590971957
0.314807198,-2.351256794,2.216869377,1.134448022,0.567097512
-0.90334511,-2.245310981,0.991819955,0.59236209,0.743652781
-1.565711342,-2.823543929,0.236740371,0.79379908,0.672401572
-1.400799915,-2.681642324,0.533004641,0.734540418,0.692622467
-1.763219215,-1.83324652,0.649209224,0.50325561,0.777534078
-1.921678707,-1.917093875,0.392132409,0.524092367,0.769475486
-2.092077562,-2.160652366,0.141124024,0.624333913,0.731859329
-2.409619892,-0.837362571,0.427752573,0.400908813,0.818358801
2.855538409,3.848247437,6.814525906,8.055871539,0.017811058
5.400026273,6.538571624,10.68676953,20.82920571,3.00E-05
-3.265643235,-0.454721047,0.31102259,0.615011039,0.735278809
-3.452559035,-0.355028665,-0.340941044,0.6799583,0.711785163
-2.86289482,0.272072243,0.613329282,0.507315387,0.775957372
-3.467533564,1.069249945,-0.039285327,0.752985848,0.686263974
-3.252885136,1.545604001,-0.550774655,0.817282178,0.664552705
-1.031879732,3.583450865,2.098130625,1.71453704,0.424319521
-3.696997377,2.319721362,-0.943277178,1.311908374,0.518946654
-3.804860519,2.228154319,-0.836292024,1.296008516,0.523088686
-1.03338592,4.768398305,3.176673426,3.307487447,0.191332271
-4.314477293,3.183645236,-1.005732777,1.988568555,0.369988159
-4.004830705,3.572669073,-1.170951841,2.111700902,0.347896433
-2.846366357,4.727688605,-0.259710179,2.280494497,0.319739957
-6.559246005,2.169537185,-2.338348323,3.497303452,0.174008396
-5.327346362,3.292222706,-1.105551139,2.610589773,0.271092582
-4.499533886,3.933668737,0.575517463,2.420611809,0.298106074
-7.194127364,2.868148291,-2.647938048,4.476470938,0.10664652
-6.772582796,3.303560529,-2.419721612,4.213929113,0.121606537
-5.288361435,4.67526682,-0.460312371,3.3493961,0.187364746
