Series,Concentration,Replicate,W,A
Adulterated,5%,2,1112,0.150017002
Adulterated,5%,2,1114,0.14657639
Adulterated,5%,2,1116,0.140073858
Adulterated,5%,2,1118,0.130756031
Adulterated,5%,2,1120,0.119754016
Adulterated,5%,3,1105,0.144050758
Adulterated,5%,3,1107,0.146829234
Adulterated,5%,3,1109,0.149185278
Adulterated,5%,3,1111,0.150044965
Adulterated,5%,3,1113,0.148293904
Adulterated,5%,3,1115,0.143424276
Adulterated,5%,3,1117,0.13553945
Adulterated,5%,3,1119,0.125288469
Adulterated,10%,1,1106,0.142269152
Adulterated,10%,1,1108,0.145017348
Adulterated,10%,1,1110,0.146793847
Adulterated,10%,1,1112,0.146746529
Adulterated,10%,1,1114,0.143751716
Adulterated,10%,1,1116,0.137731692
Adulterated,10%,1,1118,0.128966555
Adulterated,10%,1,1120,0.118463341
Adulterated,10%,2,1105,0.14055639
Adulterated,10%,2,1107,0.143342522
Adulterated,10%,2,1109,0.145737157
Adulterated,10%,2,1111,0.146787334
Adulterated,10%,2,1113,0.145397339
Adulterated,10%,2,1115,0.140934305
Adulterated,10%,2,1117,0.133498429
Adulterated,10%,2,1119,0.123757533
Adulterated,10%,3,1106,0.142188768
Adulterated,10%,3,1108,0.14485832
Adulterated,10%,3,1110,0.146616444
Adulterated,10%,3,1112,0.146596159
Adulterated,10%,3,1114,0.143711479
Adulterated,10%,3,1116,0.137770526
Adulterated,10%,3,1118,0.129001931
Adulterated,10%,3,1120,0.118463496
Adulterated,15%,1,1105,0.138571713
Adulterated,15%,1,1107,0.141142737
Adulterated,15%,1,1109,0.143411087
Adulterated,15%,1,1111,0.144714418
Adulterated,15%,1,1113,0.143709389
Adulterated,15%,1,1115,0.139508911
Adulterated,15%,1,1117,0.132278551
Adulterated,15%,1,1119,0.122860781
Adulterated,15%,2,1106,0.139425956
Adulterated,15%,2,1108,0.142011502
Adulterated,15%,2,1110,0.143866011
Adulterated,15%,2,1112,0.144054187
Adulterated,15%,2,1114,0.141463052
Adulterated,15%,2,1116,0.135934876
Adulterated,15%,2,1118,0.127602943
Adulterated,15%,2,1120,0.11747878
Adulterated,15%,3,1105,0.138426399
Adulterated,15%,3,1107,0.140959639
Adulterated,15%,3,1109,0.143214144
Adulterated,15%,3,1111,0.144391299
Adulterated,15%,3,1113,0.143290062
Adulterated,15%,3,1115,0.139162529
Adulterated,15%,3,1117,0.13209839
Adulterated,15%,3,1119,0.122759305
Adulterated,20%,1,1106,0.136926182
Adulterated,20%,1,1108,0.139439113
Adulterated,20%,1,1110,0.141316866
Adulterated,20%,1,1112,0.141695777
Adulterated,20%,1,1114,0.139381014
Adulterated,20%,1,1116,0.134168468
Adulterated,20%,1,1118,0.126231577
Adulterated,20%,1,1120,0.116481841
Adulterated,20%,2,1105,0.135453943
Adulterated,20%,2,1107,0.137940392
Adulterated,20%,2,1109,0.140236517
Adulterated,20%,2,1111,0.141555286
Adulterated,20%,2,1113,0.140648588
Adulterated,20%,2,1115,0.13690817
Adulterated,20%,2,1117,0.130253212
Adulterated,20%,2,1119,0.121262753
Adulterated,20%,3,1106,0.136545477
Adulterated,20%,3,1108,0.139018831
Adulterated,20%,3,1110,0.140931503
Adulterated,20%,3,1112,0.141408573
Adulterated,20%,3,1114,0.139142676
Adulterated,20%,3,1116,0.133937973
Adulterated,20%,3,1118,0.126051277
Adulterated,20%,3,1120,0.116272804
Adulterated,25%,1,1105,0.13315352
Adulterated,25%,1,1107,0.135435991
Adulterated,25%,1,1109,0.137710965
Adulterated,25%,1,1111,0.139141923
Adulterated,25%,1,1113,0.138620702
Adulterated,25%,1,1115,0.135231203
Adulterated,25%,1,1117,0.128904914
Adulterated,25%,1,1119,0.120331586
Adulterated,25%,2,1106,0.134142368
Adulterated,25%,2,1108,0.136608981
Adulterated,25%,2,1110,0.138562836
Adulterated,25%,2,1112,0.139124473
Adulterated,25%,2,1114,0.137079465
Adulterated,25%,2,1116,0.132268772
Adulterated,25%,2,1118,0.124758477
Adulterated,25%,2,1120,0.115355214
Adulterated,25%,3,1105,0.133054521
Adulterated,25%,3,1107,0.135521396
Adulterated,25%,3,1109,0.137830223
Adulterated,25%,3,1111,0.139163404
Adulterated,25%,3,1113,0.13833406
Adulterated,25%,3,1115,0.13499036
Adulterated,25%,3,1117,0.128837435
Adulterated,25%,3,1119,0.120305882
Adulterated,30%,1,1106,0.13116788
Adulterated,30%,1,1108,0.133521464
Adulterated,30%,1,1110,0.135469884
Adulterated,30%,1,1112,0.136189419
Adulterated,30%,1,1114,0.134544237
Adulterated,30%,1,1116,0.130219785
Adulterated,30%,1,1118,0.123199981
Adulterated,30%,1,1120,0.114256037
Adulterated,30%,2,1105,0.132469276
Adulterated,30%,2,1107,0.134511526
Adulterated,30%,2,1109,0.136574871
Adulterated,30%,2,1111,0.137919941
Adulterated,30%,2,1113,0.137285872
Adulterated,30%,2,1115,0.134184875
Adulterated,30%,2,1117,0.128406281
Adulterated,30%,2,1119,0.120359394
Adulterated,30%,3,1106,0.133337766
Adulterated,30%,3,1108,0.135487329
Adulterated,30%,3,1110,0.137239009
Adulterated,30%,3,1112,0.137838933
Adulterated,30%,3,1114,0.136094048
Adulterated,30%,3,1116,0.131724714
Adulterated,30%,3,1118,0.124745433
Adulterated,30%,3,1120,0.11587821
Adulterated,35%,1,1105,0.127601236
Adulterated,35%,1,1107,0.129698487
Adulterated,35%,1,1109,0.131959438
Adulterated,35%,1,1111,0.133573165
Adulterated,35%,1,1113,0.133428844
Adulterated,35%,1,1115,0.130838912
Adulterated,35%,1,1117,0.125476608
Adulterated,35%,1,1119,0.117756744
Adulterated,35%,2,1106,0.12847074
Adulterated,35%,2,1108,0.13049011
Adulterated,35%,2,1110,0.132416063
Adulterated,35%,2,1112,0.133574526
Adulterated,35%,2,1114,0.132372146
Adulterated,35%,2,1116,0.12851500799999999
Adulterated,35%,2,1118,0.121884078
Adulterated,35%,2,1120,0.113134467
Adulterated,35%,3,1105,0.12737521500000001
Adulterated,35%,3,1107,0.129628544
Adulterated,35%,3,1109,0.131895316
Adulterated,35%,3,1111,0.133375737
Adulterated,35%,3,1113,0.133090564
Adulterated,35%,3,1115,0.130546364
Adulterated,35%,3,1117,0.125363041
Adulterated,35%,3,1119,0.117707364
Adulterated,40%,1,1106,0.125977499
Adulterated,40%,1,1108,0.128188694
Adulterated,40%,1,1110,0.130294921
Adulterated,40%,1,1112,0.131392779
Adulterated,40%,1,1114,0.130291095
Adulterated,40%,1,1116,0.126670199
Adulterated,40%,1,1118,0.120381433
Adulterated,40%,1,1120,0.112174509
Adulterated,40%,2,1105,0.125157009
Adulterated,40%,2,1107,0.127126203
Adulterated,40%,2,1109,0.12928488
Adulterated,40%,2,1111,0.131003992
Adulterated,40%,2,1113,0.131123634
Adulterated,40%,2,1115,0.128900278
Adulterated,40%,2,1117,0.123969509
Adulterated,40%,2,1119,0.116678306
Adulterated,40%,3,1106,0.126957969
Adulterated,40%,3,1108,0.129064625
Adulterated,40%,3,1110,0.131058031
Adulterated,40%,3,1112,0.132120414
Adulterated,40%,3,1114,0.131006632
Adulterated,40%,3,1116,0.127380521
Adulterated,40%,3,1118,0.121116823
Adulterated,40%,3,1120,0.112894847
Adulterated,45%,1,1105,0.123104359
Adulterated,45%,1,1107,0.124889663
Adulterated,45%,1,1109,0.127039046
Adulterated,45%,1,1111,0.128824843
Adulterated,45%,1,1113,0.129111854
Adulterated,45%,1,1115,0.127193021
Adulterated,45%,1,1117,0.12267415499999999
Adulterated,45%,1,1119,0.115764637
Adulterated,45%,2,1106,0.123757097
Adulterated,45%,2,1108,0.125784172
Adulterated,45%,2,1110,0.127847693
Adulterated,45%,2,1112,0.129108654
Adulterated,45%,2,1114,0.128354944
Adulterated,45%,2,1116,0.125200574
Adulterated,45%,2,1118,0.119386549
Adulterated,45%,2,1120,0.111533391
Adulterated,45%,3,1105,0.123631648
Adulterated,45%,3,1107,0.125364387
Adulterated,45%,3,1109,0.127491231
Adulterated,45%,3,1111,0.1292433
Adulterated,45%,3,1113,0.129556114
Adulterated,45%,3,1115,0.127621463
Adulterated,45%,3,1117,0.123065142
Adulterated,45%,3,1119,0.116188624
Adulterated,50%,1,1106,0.121054747
Adulterated,50%,1,1108,0.12303109
Adulterated,50%,1,1110,0.125076095
Adulterated,50%,1,1112,0.126468453
Adulterated,50%,1,1114,0.126110757
Adulterated,50%,1,1116,0.123360508
Adulterated,50%,1,1118,0.117956617
Adulterated,50%,1,1120,0.110542414
Adulterated,50%,2,1105,0.120728466
Adulterated,50%,2,1107,0.122328247
Adulterated,50%,2,1109,0.124405758
Adulterated,50%,2,1111,0.126260139
Adulterated,50%,2,1113,0.126798972
Adulterated,50%,2,1115,0.125244685
Adulterated,50%,2,1117,0.121114106
Adulterated,50%,2,1119,0.11461761
Adulterated,50%,3,1106,0.122030602
Adulterated,50%,3,1108,0.123860864
Adulterated,50%,3,1110,0.125894323
Adulterated,50%,3,1112,0.127264178
Adulterated,50%,3,1114,0.126740374
Adulterated,50%,3,1116,0.123924777
Adulterated,50%,3,1118,0.118488399
Adulterated,50%,3,1120,0.110994243
Adulterated,55%,1,1105,0.117212002
Adulterated,55%,1,1107,0.118660751
Adulterated,55%,1,1109,0.120689344
Adulterated,55%,1,1111,0.122739036
Adulterated,55%,1,1113,0.123684676
Adulterated,55%,1,1115,0.122576015
Adulterated,55%,1,1117,0.118958658
Adulterated,55%,1,1119,0.112963048
Adulterated,55%,2,1106,0.118352924
Adulterated,55%,2,1108,0.120195169
Adulterated,55%,2,1110,0.122270957
Adulterated,55%,2,1112,0.123856127
Adulterated,55%,2,1114,0.123787952
Adulterated,55%,2,1116,0.121500291
Adulterated,55%,2,1118,0.116612532
Adulterated,55%,2,1120,0.109585008
Adulterated,55%,3,1105,0.117760065
Adulterated,55%,3,1107,0.119154716
Adulterated,55%,3,1109,0.121219673
Adulterated,55%,3,1111,0.123295999
Adulterated,55%,3,1113,0.124218046
Adulterated,55%,3,1115,0.123076465
Adulterated,55%,3,1117,0.119451204
Adulterated,55%,3,1119,0.113413443
Adulterated,60%,1,1106,0.115149521
Adulterated,60%,1,1108,0.116881424
Adulterated,60%,1,1110,0.119069784
Adulterated,60%,1,1112,0.120963657
Adulterated,60%,1,1114,0.121283033
Adulterated,60%,1,1116,0.119404773
Adulterated,60%,1,1118,0.114884838
Adulterated,60%,1,1120,0.108250314
Adulterated,60%,2,1105,0.114792236
Adulterated,60%,2,1107,0.116185034
Adulterated,60%,2,1109,0.118205842
Adulterated,60%,2,1111,0.120240564
Adulterated,60%,2,1113,0.121418998
Adulterated,60%,2,1115,0.120809504
Adulterated,60%,2,1117,0.117611085
Adulterated,60%,2,1119,0.111928
Adulterated,60%,3,1106,0.115793898
Adulterated,60%,3,1108,0.117570968
Adulterated,60%,3,1110,0.119737335
Adulterated,60%,3,1112,0.12154405
Adulterated,60%,3,1114,0.121838421
Adulterated,60%,3,1116,0.119935134
Adulterated,60%,3,1118,0.11537846
Adulterated,60%,3,1120,0.108690387
