Index,Series,Concentration,Replicate,Y1,Y2,Y3
1,Pure VCO,0%,1,1.8898684940133603,-4.45052076161296,0.5869031553857106
2,Pure VCO,0%,2,5.010104924356444,-1.386075544988888,4.210855065355273
3,Pure VCO,0%,3,4.434167671869793,-1.5921152343945182,1.5570618758083241
4,Pure VCO,0%,4,4.554377806211843,-1.1363646052277852,-0.30995360191446153
5,Pure VCO,0%,5,3.584576274689205,-1.8794082019603193,-2.5917708477487187
6,Pure VCO,0%,6,6.347336359743933,0.8925407246094097,0.43549799689903085
7,Pure VCO,0%,7,3.778217832419506,-1.6242763071005621,-2.734750787708636
8,Pure VCO,0%,8,6.982464918096249,1.562841691525109,0.46442495128750355
9,Pure VCO,0%,9,4.868153257846928,-0.4263868511081226,-2.7332916380280663
10,Pure VCO,0%,10,5.218486871745604,-0.13025293137707386,-2.2010983382816742
11,Pure VCO,0%,11,3.132207930740487,-1.6145851372219489,-4.995110434092396
12,Pure VCO,0%,12,7.271642268298625,2.428480416807267,-1.4925541974653647
13,Pure VCO,0%,13,5.746700980906845,1.200003718216519,-4.3374208888802395
14,Pure VCO,0%,14,5.9251435587397046,1.6789646389617492,-6.1892740420369465
15,Pure VCO,0%,15,11.71515891863442,7.782189860094799,-3.4248052485233913
16,Adulterated,5%,1,-1.0022665798651071,-7.078547015870497,0.36803343203950556
17,Adulterated,5%,2,-1.3106353933172568,-7.801891536154127,-0.33031580576831887
18,Adulterated,5%,3,-0.16109320619268558,-6.34622205218507,1.299446784237676
19,Adulterated,10%,1,-0.9306426894203553,-5.405827127611285,0.7484572851152222
20,Adulterated,10%,2,-0.6805210611106971,-4.937731987078853,0.986053498595292
21,Adulterated,10%,3,-0.32730085181249513,-4.566539415052206,1.1070044501548293
22,Adulterated,15%,1,0.2938189970469852,-2.540468465264488,2.174532225879244
23,Adulterated,15%,2,-0.1783758814368789,-2.8678260867561782,1.6562902282975949
24,Adulterated,15%,3,0.3148071976497366,-2.351256793915953,2.2168693765613496
25,Adulterated,20%,1,-0.9033451096894077,-2.2453109814310044,0.9918199551309294
26,Adulterated,20%,2,-1.5657113415724169,-2.8235439292002877,0.23674037060882974
27,Adulterated,20%,3,-1.400799914813448,-2.6816423241687994,0.5330046413847096
28,Adulterated,25%,1,-1.7632192148846277,-1.8332465195870735,0.6492092240741901
29,Adulterated,25%,2,-1.921678706844955,-1.9170938750814601,0.3921324086782557
30,Adulterated,25%,3,-2.092077562249028,-2.1606523658601966,0.14112402377188185
31,Adulterated,30%,1,-2.4096198922925742,-0.8373625712942232,0.42775257294067226
32,Adulterated,30%,2,2.8555384089906637,3.848247437076521,6.814525905913516
33,Adulterated,30%,3,5.400026273324786,6.538571624032382,10.686769534824345
34,Adulterated,35%,1,-3.265643234750094,-0.45472104684048564,0.3110225903984451
35,Adulterated,35%,2,-3.452559034930032,-0.3550286652403112,-0.34094104378251194
36,Adulterated,35%,3,-2.8628948198739637,0.2720722430532474,0.6133292819524873
37,Adulterated,40%,1,-3.467533563727974,1.0692499451309208,-0.039285327136256536
38,Adulterated,40%,2,-3.2528851358722934,1.545604000534326,-0.5507746551032013
39,Adulterated,40%,3,-1.0318797321646611,3.583450864986813,2.0981306250920486
40,Adulterated,45%,1,-3.696997377437078,2.3197213619034267,-0.9432771776052147
41,Adulterated,45%,2,-3.804860518774038,2.228154318903411,-0.8362920241794215
42,Adulterated,45%,3,-1.0333859204320641,4.768398304586098,3.176673425681986
43,Adulterated,50%,1,-4.314477293266752,3.183645236192417,-1.0057327768156605
44,Adulterated,50%,2,-4.004830704795676,3.572669073463731,-1.1709518408797823
45,Adulterated,50%,3,-2.846366357081048,4.727688605394869,-0.25971017924649686
46,Adulterated,55%,1,-6.55924600466612,2.1695371854040846,-2.338348323497159
47,Adulterated,55%,2,-5.327346361548628,3.2922227056096505,-1.1055511389171826
48,Adulterated,55%,3,-4.499533886409693,3.9336687370462724,0.5755174625339008
49,Adulterated,60%,1,-7.194127363590859,2.8681482914488163,-2.6479380481129766
50,Adulterated,60%,2,-6.772582795797084,3.3035605288891414,-2.4197216121211085
51,Adulterated,60%,3,-5.288361434705143,4.675266819713719,-0.46031237075757114
